Harmonogram sprawdzeñ maszyn i urz¹dzeñ 2025;;;;;;;;;;;;;;;;;
Nr hali;;Nr ewid.;Maszyna;Typ;miesi¹ce;;;;;;;;;;;;
;2/49;62;Zgrzewarka;Zpb-6;;lut.25;;;;cze.25;;;;paŸ.25;;;
;2/2;28;Zgrzewarka;Zpa-6;;;;kwi.25;;;;sie.25;;;;gru.25;
;2/4;69;Zgrzewarka  ;Zpf-16;;lut.25;;;;cze.25;;;;paŸ.25;;;
;2/21;26;Zgrzewarka  ;Zpf-16;;lut.25;;;;cze.25;;;;paŸ.25;;;
;;37;Zgrzewarka kleszczowa;Zpk-12;;lut.25;;;; ;;sie.25;;;;;
;2/22;29;Zgrzewarka punktowa;Zpb-6;sty.25;;;kwi.25;;;lip.25;;;paŸ.25;;;
;2/58/5;49;Prasa hydrauliczna;PDL-70NC;sty.25;;;kwi.25;;;lip.25;;;paŸ.25;;;
;;68;Ch³odnica;CHR 0,8;sty.25;;;;;;lip.25;;;;;;
;2/34;77;Zgrzewarka kleszczowa;Zpk-6;;lut.25;;;; ;;sie.25;;;;;
;2/66/7;70;Zgrzewarka;ZPJ-15;;;;;;;;;;;;;
;;78;Zgrzewarka;Zpb-6;sty.25;;;kwi.25;;;lip.25;;;paŸ.25;;;
;;73;Zgrzewarka;Zpm-40;;lut.25;;;;cze.25;;;;paŸ.25;;;
;2/57/5;24;Zgrzewarka;Zpn-16;;;mar.25;;;;lip.25;;;;lis.25;;
;;25;Zgrzewarka;Zpn-16;;;mar.25;;;;lip.25;;;;lis.25;;
;2/52;12;Prasa hydrauliczna;P 6324;sty.25;;;;maj.25;;;;wrz.25;;;;
;65/PK;80;Ramiê z wentyl. wyci¹gowym;;sty.25;;;;;cze.25;;;;;;;
9;102/PK;96;Prasa mimoœrodowa Haven;MPW 6,3;;lut.25;;;maj.25;;;sie.25;;;lis.25;;
;2/72/2;97;Prasa mimoœrodowa Haven;MPW 25;;;;;maj.25;;;sie.25;;;lis.25;;
;2/29;10;Prasa mimoœrodowa;BABRAI;;lut.25;;;maj.25;;;sie.25;;;lis.25;;
;2/5;30;Prasa mimoœrodowa;BABRAI;sty.25;;;kwi.25;;;lip.25;;;paŸ.25;;;
;2/7;8;Prasa mimoœrodowa;BABRAI;;;mar.25;;;cze.25;;;wrz.25;;;gru.25;
;2/8;31;Prasa mimoœrodowa;BABRAI;sty.25;;;kwi.25;;;lip.25;;;paŸ.25;;;
;2/9;56;Prasa mimoœrodowa;BABRAI;sty.25;;;kwi.25;;;lip.25;;;paŸ.25;;;
;;86;Prasa do zagniatania zawias;Metalbox;;;;;;;;;;;;;
;2/10;11;Prasa mimoœrodowa;Per 16x200;;lut.25;;;maj.25;;;sie.25;;;lis.25;;
;2/23;3;Prasa mimoœrodowa;CZEST;;lut.25;;;maj.25;;;sie.25;;;lis.25;;
;2/24;4;Prasa mimoœrodowa;W³oska;;lut.25;;;maj.25;;;sie.25;;;lis.25;;
;2/31;5;Prasa mechaniczna;2324E;sty.25;;;kwi.25;;;lip.25;;;paŸ.25;;;
;2/25;6;Prasa mimoœrodowa;CZEST;;;mar.25;;;cze.25;;;wrz.25;;;gru.25;
11;2/33;55;Osuszacz;SGB 012;;lut.25;;;;cze.25;;;;paŸ.25;;;
;2/92;98;Agregat sprê¿arkowy;;;lut.25;;;maj.25;;;sie.25;;;lis.25;;
;;;;;;;;;;;;;;;;;
;;Nr ewid.;Maszyna;Typ;miesi¹ce;;;;;;;;;;;;
;;;;;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII;
12;2/30  2/64;32;Tunel przygotowania pow.;Euroimpianti;;;;;;cze.25;;;;;;gru.25;
;;33;Piec osuszaj¹cy;Euroimpianti;;;;;maj.25;;;;;;lis.25;;
;;91;Napêd ³añcucha;Euroimpianti;sty.25;;;kwi.25;;;lip.25;;;paŸ.25;;;
;;34;Stacja czyszczenia i smarowania;;;;;;maj.25;;;;;;lis.25;;
;2/41;35;Piec tunelowy;MONKIEWICZ;;;mar.25;;;cze.25;;;wrz.24;;;gru.25;
;2/46;36;Kabina malarska;Euroimpianti;sty.25;;;;;;lip.25;;;;;;
;2/60;67;Stacja demineralizacji;DI/50/278M/SP;Zgodnie z instrukcjê obs³ugi;;;;;;;;;;;;
;71/PK;81;Przecinarka taœmowa;DEDRA DED7723;;lut.25;;;;;;sie.25;;;;;
;;37;Szafa sterownicza;Euroimpianti;Szafa bezobs³ugowa;;;;;;;;;;;;
14;2/27;38;Maszyna do sitodruku;S-4;sty.25;;;;maj.25;;;sie.25;;;lis.25;;
;33/PK;39;Zszywacz;;;;;;;;;;;;;gru.25;
;2/38;40;Pakowarka;£ódŸ;;;mar.25;;;;lip.25;;;;lis.25;;
;2/41;41;Owijarka do palet;£ódŸ;;;mar.25;;;;lip.25;;;;lis.25;;
;2/42;60;Ramiê wentylatora;Plymovent;;;mar.25;;;;;;wrz.24;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
